,Year,SP.URB.TOTL.IN.ZS,SP.POP.1524.TO.UN,IS.RRS.PASG.KM,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,30.462,33329520,7304,BGD,Bangladesh,South Asia,Lower middle income,IDA
1,2011,31.225,33606251,8052,BGD,Bangladesh,South Asia,Lower middle income,IDA
2,2012,31.993,33830724,8787,BGD,Bangladesh,South Asia,Lower middle income,IDA
3,2013,32.762,34021878,8253,BGD,Bangladesh,South Asia,Lower middle income,IDA
4,2014,33.535,34205526,8135,BGD,Bangladesh,South Asia,Lower middle income,IDA
5,2015,34.308,34400594,8711,BGD,Bangladesh,South Asia,Lower middle income,IDA
6,2010,49.226,218974009,876218,CHN,China,East Asia & Pacific,Upper middle income,IBRD
7,2011,50.511,215914397,961229,CHN,China,East Asia & Pacific,Upper middle income,IBRD
8,2012,51.765,211735888,981233,CHN,China,East Asia & Pacific,Upper middle income,IBRD
9,2013,53.013,206846521,1059560,CHN,China,East Asia & Pacific,Upper middle income,IBRD
10,2014,54.259,201802535,1124190,CHN,China,East Asia & Pacific,Upper middle income,IBRD
11,2015,55.5,197026759,1196060,CHN,China,East Asia & Pacific,Upper middle income,IBRD
12,2010,76.966,9388651,83886,DEU,Germany,Europe & Central Asia,High income,Not classified
13,2011,77.16,9255162,85414,DEU,Germany,Europe & Central Asia,High income,Not classified
14,2012,77.17,9111578,88796,DEU,Germany,Europe & Central Asia,High income,Not classified
15,2013,77.18,8964066,89615,DEU,Germany,Europe & Central Asia,High income,Not classified
16,2014,77.19,8819364,90976,DEU,Germany,Europe & Central Asia,High income,Not classified
17,2015,77.2,8682394,91603,DEU,Germany,Europe & Central Asia,High income,Not classified
18,2010,90.812,12637132,393466,JPN,Japan,East Asia & Pacific,High income,Not classified
19,2011,91.069,12472916,395067,JPN,Japan,East Asia & Pacific,High income,Not classified
20,2012,91.148,12355023,404396,JPN,Japan,East Asia & Pacific,High income,Not classified
21,2013,91.226,12272803,414387,JPN,Japan,East Asia & Pacific,High income,Not classified
22,2014,91.304,12211081,413970,JPN,Japan,East Asia & Pacific,High income,Not classified
23,2015,91.381,12157426,427486,JPN,Japan,East Asia & Pacific,High income,Not classified
